card_id,set_id,market_price_usd
sv6pt5-1,sv6pt5,91.75
sv6pt5-2,sv6pt5,49.84
sv6pt5-3,sv6pt5,27.35
sv6pt5-4,sv6pt5,80.58
sv6pt5-5,sv6pt5,148.48
g1-1,g1,100.57
g1-2,g1,110.93
g1-3,g1,65.22
g1-4,g1,87.92
g1-5,g1,78.1
g1-6,g1,56.08
g1-7,g1,137.63
g1-8,g1,24.09
g1-9,g1,3.1
g1-10,g1,89.6
g1-11,g1,145.24
g1-12,g1,9.09
g1-13,g1,45.08
g1-14,g1,65.9
g1-15,g1,23.59
g1-16,g1,52.08
g1-17,g1,126.17
ex10-7,ex10,79.88
g1-59,g1,11.12
bw1-1,bw1,81.27
bw1-2,bw1,66.6
bw1-3,bw1,107.46
bw1-4,bw1,115.3
bw1-5,bw1,121.59
bw1-6,bw1,102.85
bw1-7,bw1,143.69
bw1-8,bw1,3.61
bw1-9,bw1,108.52
bw1-10,bw1,30.4
bw1-11,bw1,79.21
bw1-12,bw1,143.26
bw1-13,bw1,42.05
bw1-14,bw1,72.49
bw1-15,bw1,13.99
bw1-16,bw1,148.62
bw1-17,bw1,103.43
bw1-18,bw1,68.32
bw1-19,bw1,142.28
ex10-8,ex10,120.32
ex10-9,ex10,16.96
neo4-1,neo4,117.92
neo4-2,neo4,7.27
neo4-3,neo4,80.08
ex10-10,ex10,56.57
col1-1,col1,50.33
col1-2,col1,117.27
col1-3,col1,22.37
col1-4,col1,130.17
col1-5,col1,128.11
col1-6,col1,114.96
col1-7,col1,132.39
col1-8,col1,26.84
col1-9,col1,27.34
col1-10,col1,0.5
ex10-11,ex10,24.14
base5-1,base5,48.12
base5-2,base5,111.08
base5-3,base5,134.51
base5-4,base5,39.29
base5-15,base5,7.81
ex10-1,ex10,103.68
ex10-2,ex10,99.46
ex10-3,ex10,110.75
ex10-4,ex10,68.53
ex10-5,ex10,102.47
ex10-6,ex10,129.88
ecard1-1,ecard1,44.15
ecard1-2,ecard1,4.1
ecard1-3,ecard1,17.74
ecard1-4,ecard1,4.69
ecard1-5,ecard1,98.93
ecard1-6,ecard1,45.62
ecard1-7,ecard1,117.72
ecard1-8,ecard1,97.88
ecard1-9,ecard1,128.52
ecard1-10,ecard1,74.3
ecard1-11,ecard1,147.52
ecard1-12,ecard1,29.48
ecard1-13,ecard1,50.38
ecard1-14,ecard1,120.47
ecard1-15,ecard1,79.45
ecard1-16,ecard1,142.82
ecard1-17,ecard1,25.76
ecard1-18,ecard1,67.08
ecard1-19,ecard1,118.25
ecard1-20,ecard1,64.85
ecard1-21,ecard1,87.62
ecard1-22,ecard1,138.7
ecard1-23,ecard1,118.71
ecard1-24,ecard1,29.49
ecard1-25,ecard1,4.17
ecard1-26,ecard1,111.72
ecard1-27,ecard1,49.26
ecard1-28,ecard1,76.83
ecard1-29,ecard1,118.47
ecard1-30,ecard1,50.26
pl3-1,pl3,25.04
pl3-2,pl3,125.81
pl3-3,pl3,47.75
pl3-4,pl3,80.08
pl3-5,pl3,12.87
pl3-6,pl3,61.25
pl3-7,pl3,134.6
pl3-8,pl3,101.69
pl3-9,pl3,113.31
pl3-10,pl3,128.83
pl3-11,pl3,95.5
pl3-12,pl3,73.22
pl3-13,pl3,114.78
pl3-14,pl3,149.51
pl3-15,pl3,51.92
pl3-16,pl3,18.19
pl3-17,pl3,76.85
pl3-18,pl3,142.27
pl3-19,pl3,148.63
pl3-20,pl3,135.14
pl3-21,pl3,141.49
pl3-22,pl3,45.8
dc1-1,dc1,73.73
dc1-2,dc1,95.51
dc1-3,dc1,129.17
dc1-4,dc1,87.45
dc1-5,dc1,106.14
dc1-6,dc1,58.32
dc1-7,dc1,87.27
dc1-8,dc1,39.63
dc1-9,dc1,6.71
dc1-10,dc1,39.05
dc1-11,dc1,91.09
dc1-12,dc1,95.01
dc1-13,dc1,65.19
dc1-14,dc1,94.93
hgss2-1,hgss2,52.49
hgss2-2,hgss2,30.76
hgss2-3,hgss2,6.86
hgss2-4,hgss2,7.59
hgss2-5,hgss2,69.05
hgss2-6,hgss2,55.59
hgss2-7,hgss2,22.5
hgss2-8,hgss2,64.6
hgss2-9,hgss2,57.48
hgss2-10,hgss2,92.42
hgss2-11,hgss2,14.72
hgss2-12,hgss2,49.65
hgss2-13,hgss2,72.55
ex16-52,ex16,88.84
ex16-53,ex16,23.2
ex16-1,ex16,86.33
ex16-2,ex16,64.35
ex16-3,ex16,143.1
ex16-4,ex16,14.79
ex16-5,ex16,127.5
ex16-6,ex16,149.29
ex16-7,ex16,113.55
ex16-8,ex16,122.91
ex16-9,ex16,116.48
ex16-10,ex16,41.2
ex16-11,ex16,44.54
ex16-12,ex16,87.83
ex16-13,ex16,147.84
ex16-14,ex16,135.24
ex16-15,ex16,40.61
ex16-16,ex16,103.72
ex16-17,ex16,132.88
ex16-18,ex16,89.19
ex16-19,ex16,17.91
ex16-20,ex16,57.86
ex16-21,ex16,142.37
ex16-22,ex16,148.92
ex16-23,ex16,36.34
ex16-24,ex16,121.02
ex16-25,ex16,99.82
ex16-26,ex16,39.16
ex16-27,ex16,46.68
ex16-28,ex16,119.96
ex16-29,ex16,116.57
ex16-30,ex16,44.92
bw10-1,bw10,52.4
bw10-2,bw10,5.01
bw10-3,bw10,42.18
bw10-4,bw10,122.2
bw10-5,bw10,40.81
bw10-6,bw10,26.71
bw10-7,bw10,134.87
bw10-8,bw10,100.73
bw10-9,bw10,44.67
bw10-10,bw10,115.72
bw10-11,bw10,106.57
bw10-12,bw10,68.52
bw10-13,bw10,7.04
bw10-14,bw10,116.11
sv8pt5-18,sv8pt5,95.18
sv1-1,sv1,94.77
sv1-2,sv1,142.7
sv1-3,sv1,129.52
sv1-4,sv1,67.24
sv1-5,sv1,94.62
sv8pt5-19,sv8pt5,136.51
sv8pt5-20,sv8pt5,118.07
sv8pt5-21,sv8pt5,20.89
sv8pt5-1,sv8pt5,7.9
sv8pt5-2,sv8pt5,28.15
sv8pt5-3,sv8pt5,41.59
sv8pt5-4,sv8pt5,75.75
sv8pt5-5,sv8pt5,49.52
sv8pt5-6,sv8pt5,7.45
sv8pt5-7,sv8pt5,128.73
sv8pt5-8,sv8pt5,70.98
sv8pt5-9,sv8pt5,72.92
sv8pt5-10,sv8pt5,2.65
sv8pt5-11,sv8pt5,42.56
sv8pt5-12,sv8pt5,141.1
sv8pt5-13,sv8pt5,17.06
sv8pt5-14,sv8pt5,147.27
sv8pt5-15,sv8pt5,64.93
sv8pt5-16,sv8pt5,8.79
sv8pt5-17,sv8pt5,51.89
me1-1,me1,46.67
me1-2,me1,55.96
me1-3,me1,113.64
me1-4,me1,2.3
me1-5,me1,77.39
me1-6,me1,9.32
me1-7,me1,147.19
me1-8,me1,108.11
gym1-1,gym1,101.64
gym1-2,gym1,103.02
gym1-3,gym1,2.5
gym1-4,gym1,41.22
gym1-5,gym1,38.86
gym1-6,gym1,125.53
gym1-7,gym1,95.35
gym1-8,gym1,76.95
gym1-9,gym1,142.36
gym1-10,gym1,93.42
gym1-11,gym1,97.44
gym1-12,gym1,49.83
gym1-13,gym1,98.02
gym1-14,gym1,32.64
gym1-15,gym1,63.45
gym1-16,gym1,5.92
gym1-17,gym1,140.54
gym1-18,gym1,131.61
gym1-19,gym1,18.43
gym1-20,gym1,92.67
gym1-21,gym1,74.93
gym1-22,gym1,72.02
gym1-23,gym1,91.84
gym1-24,gym1,120.05
gym1-25,gym1,145.7
gym1-26,gym1,21.71
gym1-27,gym1,3.28
gym1-128,gym1,90.39
sm1-1,sm1,125.17
sm1-2,sm1,111.6
sm1-12,sm1,48.95
sm1-120,sm1,95.01
dp6-1,dp6,33.28
dp6-2,dp6,144.26
dp6-3,dp6,117.85
dp6-4,dp6,131.33
dp6-5,dp6,70.78
dp6-6,dp6,15.39
dp6-7,dp6,147.01
dp6-8,dp6,41.62
dp6-9,dp6,18.5
dp6-10,dp6,0.92
dp6-11,dp6,76.81
dp6-12,dp6,104.4
dp6-13,dp6,24.04
dp6-14,dp6,4.2
dp6-15,dp6,48.96
dp6-16,dp6,15.22
dp5-92,dp5,26.1
mcd18-1,mcd18,19.18
mcd18-2,mcd18,90.0
mcd18-3,mcd18,117.56
mcd18-4,mcd18,61.77
mcd18-5,mcd18,50.44
mcd18-6,mcd18,104.24
mcd18-7,mcd18,50.09
dp5-1,dp5,71.86
dp5-2,dp5,38.22
dp5-3,dp5,147.4
dp5-4,dp5,5.67
dp5-5,dp5,112.86
dp5-6,dp5,18.26
base6-1,base6,117.24
base6-2,base6,103.61
base6-3,base6,110.22
base6-4,base6,36.66
cel25-1,cel25,31.55
cel25-2,cel25,89.84
cel25-3,cel25,35.93
cel25-4,cel25,97.63
cel25-5,cel25,59.04
cel25-6,cel25,84.72
cel25-7,cel25,50.39
cel25-8,cel25,3.84
cel25-9,cel25,101.91
cel25-10,cel25,73.63
cel25-11,cel25,105.38
cel25-12,cel25,105.42
cel25-13,cel25,108.5
cel25-14,cel25,57.11
cel25-15,cel25,42.62
cel25-16,cel25,147.78
cel25-17,cel25,66.53
cel25-18,cel25,118.61
cel25-19,cel25,10.99
hgss4-1,hgss4,43.31
hgss4-2,hgss4,22.58
hgss4-3,hgss4,43.39
hgss4-4,hgss4,0.83
hgss4-5,hgss4,55.62
smp-SM01,smp,84.09
smp-SM02,smp,110.66
smp-SM03,smp,93.68
smp-SM04,smp,61.71
smp-SM05,smp,117.73
smp-SM06,smp,122.27
smp-SM07,smp,92.87
smp-SM08,smp,129.86
smp-SM09,smp,134.11
smp-SM10,smp,7.69
smp-SM11,smp,7.8
smp-SM12,smp,75.31
smp-SM13,smp,43.58
smp-SM14,smp,97.55
smp-SM15,smp,6.81
smp-SM16,smp,124.56
smp-SM17,smp,65.24
bw7-145,bw7,61.18
xy6-1,xy6,50.59
xy6-2,xy6,126.72
xy6-3,xy6,97.57
xy6-4,xy6,84.53
xy6-5,xy6,39.91
xy6-6,xy6,45.45
xy6-7,xy6,90.55
xy6-8,xy6,89.34
xy6-9,xy6,115.84
xy6-10,xy6,71.08
xy6-11,xy6,95.27
xy6-12,xy6,145.19
sm3-163,sm3,10.7
dpp-DP01,dpp,106.8
dpp-DP02,dpp,128.1
dpp-DP03,dpp,76.89
dpp-DP04,dpp,147.87
dpp-DP05,dpp,107.61
dpp-DP06,dpp,22.89
bw7-1,bw7,117.73
bw7-2,bw7,11.33
bw7-3,bw7,53.34
bw7-4,bw7,57.15
bw7-5,bw7,45.67
bw7-6,bw7,33.84
bw7-7,bw7,99.15
sm3-164,sm3,29.26
sv5-1,sv5,64.59
sv5-2,sv5,149.1
sv5-3,sv5,59.63
sv5-4,sv5,52.0
sv5-5,sv5,70.45
sm3-165,sm3,58.67
sm10-197,sm10,2.43
sv5-146,sv5,140.74
dv1-1,dv1,144.48
dv1-2,dv1,55.85
dv1-3,dv1,105.41
sm10-1,sm10,115.84
sm10-2,sm10,42.2
sm10-3,sm10,62.46
sm10-4,sm10,101.19
